27516,1007
26656,1800
96405,1798
26565,1793
96408,1794
26494,1008
56401,1790
25380,1780
26564,1791
26563,1753
25522,1788
25381,1787
26562,1691
26655,1754
96406,1792
25630,1670
96407,1795
25379,1166
25711,1143
96404,1779
96409,1799
25382,1796
63869,1124
63857,1119
63858,1122
23904,1129
53132,1010
53131,1011
53155,1613
53154,1590
93245,1531
53151,1528
93243,1050
4222,1015
53152,1529
53139,1105
53150,1508
94075,1045
3061,1232
94082,1108
3063,1110
3060,1109
94074,1014
92826,1128
92827,1530
92821,1141
63856,1120
63829,1033
63828,1032
63850,1111
21515,1186
21514,1187
54902,1116
4126,1021
4127,1022
54808,1037
54811,1038
63898,1510
53974,1047
3067,1231
63849,1031
63838,1028
53960,1013
53961,1012
94645,1035
94644,1034
54810,1113
54854,1426
4994,1039
54932,1447
13301,1142
23908,1407
23909,1406
23803,1570
63831,1036
4137,1468
4140,1612
4130,1046
94060,1001
94059,1002
53878,1027
53877,1026
3758,1347
54937,1611
94080,1139
94084,1235
94077,1025
94996,1003
94995,1004
94079,1115
54794,1041
54795,1040
3074,1307
3062,1138
3048,1020
53138,1106
4139,1532
53136,1049
64758,1117
64756,1118
54851,1125
54856,1797
3055,1068
53182,1772
53926,1005
53927,1006
64757,1112
4141,1610
4236,1234
4125,1145
4128,1023
3761,1123
54796,1042
54797,1043
37201,1789
63826,1029
3728,1030
54933,1446
94081,1140
94085,1236
4990,1009
63855,1121
23907,1386
3072,1130
12987,1066
3047,1019
3054,1067
53968,1018
22016,1306
23906,1387
4138,1507
53149,1509
3739,1085
3759,1346
4223,1017
4237,1233
4136,1467
54903,1114
3733,1024
94078,1144
4131,1107
94088,1487
